minute_before_kickoff,arrivals_count_mean,arrivals_count_sd,arrival_rate_pct_mean,arrival_rate_pct_sd,total_queue_length_mean,total_queue_length_sd,queue_pct_of_pre_kickoff_max
-75,90.066667,8.808042,0.600444,0.058720,675.566667,30.004233,24.015025
-74,89.900000,9.966669,0.599333,0.066444,707.433333,33.398000,25.147820
-73,93.666667,10.700736,0.624444,0.071338,740.233333,36.025550,26.313794
-72,94.800000,7.145773,0.632000,0.047638,774.866667,38.158231,27.544939
-71,90.600000,8.992717,0.604000,0.059951,809.266667,42.164647,28.767789
-70,95.800000,8.205969,0.638667,0.054706,845.600000,42.400878,30.059365
-69,96.700000,6.592315,0.644667,0.043949,879.266667,43.691657,31.256147
-68,99.366667,9.367896,0.662444,0.062453,913.966667,46.031086,32.489661
-67,100.133333,9.922921,0.667556,0.066153,944.833333,46.444690,33.586909
-66,102.400000,10.463730,0.682667,0.069758,979.366667,46.593239,34.814499
-65,102.233333,12.024926,0.681556,0.080166,1015.766667,46.153181,36.108445
-64,104.133333,10.281330,0.694222,0.068542,1052.933333,48.079627,37.429645
-63,107.500000,8.431264,0.716667,0.056208,1089.900000,52.160462,38.743735
-62,103.133333,9.061983,0.687556,0.060413,1123.566667,55.949906,39.940516
-61,109.566667,8.475862,0.730444,0.056506,1158.166667,56.691594,41.170476
-60,108.300000,9.255567,0.722000,0.061704,1193.900000,55.056930,42.440724
-59,107.800000,8.707508,0.718667,0.058050,1225.600000,56.298221,43.567594
-58,106.633333,7.792496,0.710889,0.051950,1259.866667,55.104123,44.785705
-57,106.566667,11.415909,0.710444,0.076106,1290.066667,55.945745,45.859254
-56,107.500000,10.578932,0.716667,0.070526,1324.433333,53.522592,47.080919
-55,110.033333,9.481319,0.733556,0.063209,1355.266667,54.155544,48.176982
-54,108.700000,8.749975,0.724667,0.058333,1387.200000,54.805864,49.312147
-53,107.600000,9.327749,0.717333,0.062185,1421.266667,50.726402,50.523148
-52,106.833333,9.917186,0.712222,0.066115,1455.666667,49.295263,51.745998
